Recording	Participant	Timeline	Calibration plane width(mm)	Calibration plane width(px)	Calibration plane height(mm)	Calibration plane height(px)	Point order	Type	X	Y	Calibration accuracy(deg)	Calibration accuracy(mm)	Calibration accuracy(px)	Calibration precision SD(deg)	Calibration precision SD(mm)	Calibration precision SD(px)	Calibration precision RMS(deg)	Calibration precision RMS(mm)	Calibration precision RMS(px)	Validation accuracy(deg)	Validation accuracy(mm)	Validation accuracy(px)	Validation precision SD(deg)	Validation precision SD(mm)	Validation precision SD(px)	Validation precision RMS(deg)	Validation precision RMS(mm)	Validation precision RMS(px)
Recording	201811061170	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.14	1.54	5.61	0.04	0.39	1.41	0.05	0.58	2.09									
Recording	201811061170	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.13	1.47	5.35	0.05	0.52	1.87	0.06	0.61	2.22									
Recording	201811061170	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.06	0.64	2.33	0.07	0.68	2.49	0.08	0.74	2.7									
Recording	201811061170	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.13	1.35	4.91	0.19	2.22	8.07	0.22	2.55	9.28									
Recording	201811061170	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.12	1.35	4.91	0.05	0.62	2.25	0.07	0.83	3.01									
Recording	201811061170	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										0.39	4.03	14.64	0.06	0.6	2.17	0.06	0.59	2.13
Recording	201811061170	Urban0	528	1920	297	1080	7	Validation	0.7	0.7										0.94	9.58	34.82	0.09	0.89	3.24	0.11	1.07	3.89
Recording	201811061170	Urban0	528	1920	297	1080	8	Validation	0.3	0.3										0.5	5.09	18.51	0.06	0.56	2.04	0.07	0.69	2.5
Recording	201811061170	Urban0	528	1920	297	1080	9	Validation	0.3	0.7										0.99	10	36.35	0.17	1.76	6.39	0.11	1.14	4.13
Recording1	201711061127	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.26	2.87	10.45	0.07	0.78	2.85	0.1	1.12	4.07									
Recording1	201711061127	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.25	2.74	9.95	0.07	0.79	2.86	0.09	1.04	3.77									
Recording1	201711061127	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.06	0.6	2.19	0.12	1.15	4.18	0.13	1.3	4.72									
Recording1	201711061127	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.28	3	10.91	0.1	1.17	4.27	0.12	1.38	5.02									
Recording1	201711061127	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.21	2.31	8.4	0.1	1.14	4.14	0.11	1.24	4.5									
Recording1	201711061127	Urban1	528	1920	297	1080	6	Validation	0.3	0.7										0.45	4.57	16.63	0.15	1.54	5.6	0.18	1.88	6.83
Recording1	201711061127	Urban1	528	1920	297	1080	7	Validation	0.7	0.7										0.72	7.41	26.93	0.13	1.31	4.77	0.15	1.58	5.74
Recording1	201711061127	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										0.76	7.67	27.89	0.11	1.14	4.14	0.13	1.33	4.85
Recording1	201711061127	Urban1	528	1920	297	1080	9	Validation	0.3	0.3										0.34	3.39	12.32	0.12	1.22	4.44	0.15	1.51	5.49
Recording2	201511120153	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.26	3.1	11.27	0.06	0.73	2.65	0.07	0.86	3.12									
Recording2	201511120153	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.26	3.09	11.23	0.04	0.44	1.62	0.05	0.59	2.15									
Recording2	201511120153	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.16	1.77	6.43	0.05	0.59	2.16	0.06	0.66	2.38									
Recording2	201511120153	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.17	2.1	7.64	0.06	0.74	2.68	0.07	0.89	3.24									
Recording2	201511120153	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.2	2.41	8.77	0.06	0.77	2.79	0.06	0.77	2.81									
Recording2	201511120153	Urban1	528	1920	297	1080	6	Validation	0.7	0.3										0.17	1.93	7.03	0.06	0.69	2.5	0.06	0.66	2.41
Recording2	201511120153	Urban1	528	1920	297	1080	7	Validation	0.3	0.7										0.9	10.5	38.16	0.05	0.63	2.28	0.06	0.75	2.71
Recording2	201511120153	Urban1	528	1920	297	1080	8	Validation	0.7	0.7										0.78	9.27	33.7	0.06	0.69	2.51	0.07	0.78	2.85
Recording2	201511120153	Urban1	528	1920	297	1080	9	Validation	0.3	0.3										0.38	4.38	15.94	0.06	0.72	2.61	0.06	0.67	2.43
Recording3	201711061150	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.34	3.77	13.71	0.15	1.74	6.33	0.16	1.81	6.59									
Recording3	201711061150	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.21	2.35	8.56	0.11	1.18	4.31	0.15	1.65	6									
Recording3	201711061150	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.13	1.26	4.6	0.11	1.09	3.97	0.15	1.54	5.61									
Recording3	201711061150	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.21	2.28	8.28	0.09	1.09	3.95	0.13	1.53	5.56									
Recording3	201711061150	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.11	1.21	4.41	0.15	1.71	6.2	0.15	1.72	6.24									
Recording3	201711061150	Urban0	528	1920	297	1080	6	Validation	0.7	0.7										0.48	4.99	18.13	0.1	0.98	3.58	0.12	1.21	4.39
Recording3	201711061150	Urban0	528	1920	297	1080	7	Validation	0.3	0.7										0.35	3.73	13.56	1.71	18.34	66.69	1.04	11.22	40.82
Recording3	201711061150	Urban0	528	1920	297	1080	8	Validation	0.3	0.3										0.88	9.05	32.92	0.13	1.39	5.05	0.13	1.36	4.95
Recording3	201711061150	Urban0	528	1920	297	1080	9	Validation	0.7	0.3										0.5	5.13	18.66	0.3	3.05	11.08	0.28	2.87	10.42
Recording4	201711061179	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.26	2.8	10.17	1.03	11.14	40.51	1.27	13.77	50.08									
Recording4	201711061179	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.23	2.71	9.86	0.56	6.51	23.69	0.32	3.66	13.31									
Recording4	201711061179	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.01	0.11	0.41	0.1	0.98	3.55	0.08	0.84	3.07									
Recording4	201711061179	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.04	0.43	1.57	0.04	0.49	1.8	0.06	0.65	2.37									
Recording4	201711061179	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.15	1.62	5.87	1.03	11.94	43.43	0.98	11.68	42.46									
Recording4	201711061179	Urban0	528	1920	297	1080	6	Validation	0.3	0.3										0.54	5.54	20.15	0.22	2.26	8.23	0.14	1.47	5.33
Recording4	201711061179	Urban0	528	1920	297	1080	7	Validation	0.7	0.7										0.52	5.24	19.04	0.3	3.02	11	0.14	1.42	5.16
Recording4	201711061179	Urban0	528	1920	297	1080	8	Validation	0.7	0.3										0.16	1.64	5.95	0.38	3.95	14.36	0.06	0.57	2.06
Recording4	201711061179	Urban0	528	1920	297	1080	9	Validation	0.3	0.7										0.68	6.88	25.01	0.48	4.87	17.7	0.31	3.11	11.31
Recording5	201811260127	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1		1.41	5.14		0.7	2.56		0.94	3.41									
Recording5	201811260127	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1		2.36	8.57		0.79	2.87		0.92	3.35									
Recording5	201811260127	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.03	0.3	1.11	0.09	0.95	3.44	0.14	1.42	5.16									
Recording5	201811260127	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9		1.16	4.23		1.22	4.43		1.49	5.42									
Recording5	201811260127	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9		1.68	6.12		3.28	11.94		2.24	8.15									
Recording5	201811260127	Urban1	528	1920	297	1080	6	Validation	0.3	0.7										1.36	13.9	50.55	0.78	8.06	29.31	0.87	8.95	32.55
Recording5	201811260127	Urban1	528	1920	297	1080	7	Validation	0.7	0.7										1.01	10.35	37.63	0.39	4.03	14.65	0.28	2.93	10.64
Recording5	201811260127	Urban1	528	1920	297	1080	8	Validation	0.3	0.3										0.84	8.77	31.88	0.11	1.14	4.13	0.1	1	3.62
Recording5	201811260127	Urban1	528	1920	297	1080	9	Validation	0.7	0.3										0.93	9.66	35.15	0.1	1.03	3.75	0.1	1	3.63
Recording6	201911081901	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.1	1.24	4.5	0.06	0.76	2.76	0.08	0.97	3.54									
Recording6	201911081901	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	2.33	27.89	101.41	3.75	43.07	156.61	4.84	55.48	201.73									
Recording6	201911081901	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.08	0.8	2.92	0.09	0.92	3.34	0.1	1.08	3.94									
Recording6	201911081901	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.05	0.59	2.14	0.07	0.84	3.04	0.1	1.18	4.31									
Recording6	201911081901	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.04	0.43	1.57	0.07	0.85	3.11	0.08	1	3.65									
Recording6	201911081901	Urban0	528	1920	297	1080	6	Validation	0.3	0.7										0.21	2.33	8.48	0.09	0.98	3.57	0.09	0.98	3.56
Recording6	201911081901	Urban0	528	1920	297	1080	7	Validation	0.7	0.3										0.33	3.56	12.96	0.08	0.85	3.1	0.09	1.01	3.68
Recording6	201911081901	Urban0	528	1920	297	1080	8	Validation	0.3	0.3										0.54	5.89	21.43	0.15	1.61	5.84	0.12	1.33	4.85
Recording6	201911081901	Urban0	528	1920	297	1080	9	Validation	0.7	0.7										0.35	3.88	14.09	0.18	1.98	7.22	0.08	0.91	3.31
Recording7	202011051015	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.36	4.01	14.6	0.07	0.83	3.03	0.09	1.07	3.9									
Recording7	202011051015	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.28	3.21	11.67	0.07	0.81	2.96	0.11	1.24	4.49									
Recording7	202011051015	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.06	0.63	2.28	0.1	1.07	3.9	0.11	1.18	4.28									
Recording7	202011051015	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.31	3.55	12.9	0.09	1.07	3.89	0.12	1.42	5.16									
Recording7	202011051015	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.27	3.08	11.21	0.09	1.07	3.89	0.12	1.48	5.37									
Recording7	202011051015	Urban0	528	1920	297	1080	6	Validation	0.3	0.3										0.52	5.52	20.08	0.21	2.19	7.95	0.15	1.56	5.67
Recording7	202011051015	Urban0	528	1920	297	1080	7	Validation	0.7	0.3										0.47	5.15	18.73	0.12	1.27	4.63	0.12	1.26	4.58
Recording7	202011051015	Urban0	528	1920	297	1080	8	Validation	0.3	0.7										0.56	6	21.8	0.11	1.2	4.35	0.13	1.44	5.24
Recording7	202011051015	Urban0	528	1920	297	1080	9	Validation	0.7	0.7										1.11	11.86	43.14	0.13	1.44	5.24	0.12	1.28	4.66
Recording8	202011180030	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.26	2.91	10.59	0.05	0.62	2.24	0.06	0.72	2.62									
Recording8	202011180030	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.3	3.41	12.4	0.05	0.62	2.26	0.07	0.82	2.99									
Recording8	202011180030	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.09	0.96	3.48	0.06	0.58	2.11	0.07	0.73	2.64									
Recording8	202011180030	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.18	1.99	7.23	0.06	0.71	2.57	0.07	0.86	3.11									
Recording8	202011180030	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.2	2.25	8.18	0.06	0.76	2.76	0.07	0.87	3.16									
Recording8	202011180030	Urban1	528	1920	297	1080	6	Validation	0.3	0.7										0.4	4.18	15.21	0.08	0.89	3.23	0.07	0.73	2.67
Recording8	202011180030	Urban1	528	1920	297	1080	7	Validation	0.3	0.3										0.32	3.37	12.24	0.43	4.55	16.54	0.35	3.64	13.24
Recording8	202011180030	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										0.3	3.12	11.36	0.62	6.57	23.91	0.36	3.8	13.82
Recording8	202011180030	Urban1	528	1920	297	1080	9	Validation	0.7	0.7										0.37	3.89	14.13	0.09	0.98	3.55	0.06	0.68	2.49
Recording9	202021150005	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.02	0.22	0.81	0.28	3.01	10.95	0.38	4.14	15.06									
Recording9	202021150005	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.03	0.35	1.29	0.04	0.49	1.77	0.05	0.61	2.2									
Recording9	202021150005	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0	0.04	0.13	0.12	1.22	4.44	0.16	1.55	5.64									
Recording9	202021150005	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.5	5.74	20.86	0.14	1.6	5.81	0.2	2.26	8.23									
Recording9	202021150005	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.36	4.25	15.44	0.66	7.68	27.92	0.28	3.23	11.75									
Recording9	202021150005	Urban1	528	1920	297	1080	6	Validation	0.3	0.3										0.71	7.07	25.72	0.23	2.33	8.48	0.1	0.99	3.62
Recording9	202021150005	Urban1	528	1920	297	1080	7	Validation	0.3	0.7										0.37	3.77	13.71	0.09	0.88	3.2	0.09	0.87	3.15
Recording9	202021150005	Urban1	528	1920	297	1080	8	Validation	0.7	0.7										0.36	3.7	13.44	0.09	0.88	3.21	0.08	0.87	3.17
Recording9	202021150005	Urban1	528	1920	297	1080	9	Validation	0.7	0.3										0.55	5.51	20.03	0.14	1.38	5.01	0.07	0.76	2.75
Recording10	202011061080	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.31	3.38	12.29	0.6	6.53	23.75	0.39	4.24	15.43									
Recording10	202011061080	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.29	3.07	11.16	0.22	2.46	8.96	0.12	1.31	4.76									
Recording10	202011061080	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.12	1.14	4.15	0.13	1.25	4.55	0.17	1.64	5.96									
Recording10	202011061080	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.18	1.88	6.84	0.11	1.25	4.53	0.15	1.69	6.13									
Recording10	202011061080	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.21	2.22	8.09	0.1	1.15	4.17	0.13	1.44	5.24									
Recording10	202011061080	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										0.35	3.42	12.43	0.11	1.1	4.01	0.13	1.27	4.6
Recording10	202011061080	Urban0	528	1920	297	1080	7	Validation	0.3	0.7										0.71	6.94	25.25	0.29	2.83	10.28	0.15	1.52	5.53
Recording10	202011061080	Urban0	528	1920	297	1080	8	Validation	0.7	0.7										0.28	2.7	9.8	1.24	12.25	44.54	0.89	8.82	32.08
Recording10	202011061080	Urban0	528	1920	297	1080	9	Validation	0.3	0.3										0.35	3.48	12.65	0.25	2.45	8.9	0.14	1.39	5.05
Recording11	201711150917	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.22	2.49	9.04	0.1	1.18	4.29	0.14	1.59	5.78									
Recording11	201711150917	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.23	2.63	9.56	0.32	3.65	13.27	0.34	3.82	13.89									
Recording11	201711150917	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.07	0.74	2.68	0.18	1.86	6.75	0.27	2.77	10.06									
Recording11	201711150917	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.14	1.57	5.72	0.16	1.79	6.52	0.19	2.14	7.78									
Recording11	201711150917	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.13	1.51	5.48	0.17	1.99	7.24	0.24	2.8	10.18									
Recording11	201711150917	Urban1	528	1920	297	1080	6	Validation	0.3	0.3										0.37	3.87	14.06	0.25	2.6	9.44	0.22	2.27	8.24
Recording11	201711150917	Urban1	528	1920	297	1080	7	Validation	0.3	0.7										0.16	1.74	6.34	0.21	2.19	7.95	0.26	2.72	9.89
Recording11	201711150917	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										0.73	7.72	28.06	0.12	1.3	4.74	0.14	1.49	5.43
Recording11	201711150917	Urban1	528	1920	297	1080	9	Validation	0.7	0.7										0.6	6.36	23.13	0.19	2.01	7.3	0.18	1.9	6.92
Recording12	201711160127	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.05	0.61	2.22	0.21	2.46	8.93	0.16	1.8	6.54									
Recording12	201711160127	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.02	0.19	0.69	0.07	0.85	3.1	0.09	1.09	3.96									
Recording12	201711160127	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.01	0.12	0.44	0.07	0.76	2.76	0.09	0.95	3.44									
Recording12	201711160127	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.28	3.39	12.33	1.4	16.75	60.91	1.48	17.62	64.06									
Recording12	201711160127	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.04	0.44	1.59	0.07	0.83	3.02	0.1	1.24	4.52									
Recording12	201711160127	Urban1	528	1920	297	1080	6	Validation	0.7	0.7										0.34	3.67	13.36	0.09	1.02	3.7	0.08	0.86	3.13
Recording12	201711160127	Urban1	528	1920	297	1080	7	Validation	0.3	0.3										0.13	1.34	4.89	0.14	1.5	5.45	0.13	1.41	5.12
Recording12	201711160127	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										0.54	5.76	20.93	0.2	2.1	7.63	0.24	2.61	9.49
Recording12	201711160127	Urban1	528	1920	297	1080	9	Validation	0.3	0.7										0.22	2.32	8.43	0.86	9.13	33.21	0.13	1.44	5.24
Recording13	202011061037	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.48	5.6	20.36	0.1	1.17	4.24	0.1	1.23	4.46									
Recording13	202011061037	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.5	5.82	21.18	0.05	0.63	2.31	0.06	0.73	2.65									
Recording13	202011061037	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.16	1.67	6.08	0.1	1.12	4.08	0.12	1.25	4.56									
Recording13	202011061037	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.42	4.9	17.8	0.48	5.65	20.54	0.7	8.29	30.15									
Recording13	202011061037	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.39	4.51	16.4	0.13	1.56	5.67	0.18	2.1	7.63									
Recording13	202011061037	Urban1	528	1920	297	1080	6	Validation	0.7	0.7										1.42	16.02	58.27	0.11	1.22	4.45	0.12	1.34	4.88
Recording13	202011061037	Urban1	528	1920	297	1080	7	Validation	0.3	0.3										0.51	5.82	21.17	0.21	2.4	8.72	0.11	1.28	4.67
Recording13	202011061037	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										0.73	8.4	30.53	0.2	2.26	8.22	0.11	1.3	4.74
Recording13	202011061037	Urban1	528	1920	297	1080	9	Validation	0.3	0.7										2.23	25.39	92.33	0.36	4.09	14.88	0.45	5.19	18.87
Recording14	201811031913	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.03	0.33	1.2	0.05	0.57	2.08	0.06	0.64	2.33									
Recording14	201811031913	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.06	0.7	2.53	0.08	0.97	3.52	0.08	0.95	3.46									
Recording14	201811031913	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0	0.04	0.15	0.07	0.75	2.71	0.06	0.62	2.26									
Recording14	201811031913	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.03	0.33	1.19	0.05	0.57	2.08	0.06	0.64	2.32									
Recording14	201811031913	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.05	0.6	2.19	0.06	0.71	2.58	0.04	0.49	1.78									
Recording14	201811031913	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										0.4	4.36	15.86	0.14	1.49	5.43	0.16	1.8	6.55
Recording14	201811031913	Urban0	528	1920	297	1080	7	Validation	0.3	0.3										0.13	1.44	5.24	0.21	2.27	8.24	0.06	0.68	2.49
Recording14	201811031913	Urban0	528	1920	297	1080	8	Validation	0.7	0.7										0.28	3.19	11.59	0.11	1.22	4.45	0.09	1	3.63
Recording14	201811031913	Urban0	528	1920	297	1080	9	Validation	0.3	0.7										0.3	3.21	11.66	0.12	1.3	4.71	0.07	0.76	2.75
Recording15	201711030133	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1		1.66	6.04		0.75	2.72		1.07	3.9									
Recording15	201711030133	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1		1.39	5.04		1.15	4.17		1.13	4.1									
Recording15	201711030133	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5		0.88	3.19		0.7	2.55		0.95	3.46									
Recording15	201711030133	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9		1.05	3.83		1.18	4.28		1.59	5.78									
Recording15	201711030133	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9		0.91	3.31		0.78	2.83		1.05	3.83									
Recording15	201711030133	Urban1	528	1920	297	1080	6	Validation	0.3	0.3										0.34	3.68	13.38	0.07	0.8	2.89	0.09	0.95	3.45
Recording15	201711030133	Urban1	528	1920	297	1080	7	Validation	0.3	0.7										0.42	4.65	16.9	0.1	1.08	3.94	0.12	1.34	4.88
Recording15	201711030133	Urban1	528	1920	297	1080	8	Validation	0.7	0.7										0.16	1.79	6.5	0.23	2.52	9.17	0.12	1.36	4.94
Recording15	201711030133	Urban1	528	1920	297	1080	9	Validation	0.7	0.3										0.16	1.72	6.26	0.21	2.35	8.55	0.09	0.95	3.45
Recording16	201921150046	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.04	0.47	1.72	0.06	0.65	2.36	0.07	0.8	2.92									
Recording16	201921150046	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.11	1.22	4.44	0.04	0.49	1.77	0.05	0.64	2.34									
Recording16	201921150046	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.02	0.22	0.81	0.04	0.43	1.55	0.05	0.56	2.03									
Recording16	201921150046	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.05	0.58	2.13	0.04	0.43	1.55	0.05	0.64	2.34									
Recording16	201921150046	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.06	0.72	2.6	0.05	0.55	1.99	0.04	0.52	1.9									
Recording16	201921150046	Urban1	528	1920	297	1080	6	Validation	0.3	0.7										0.26	2.78	10.11	0.12	1.25	4.54	0.06	0.62	2.26
Recording16	201921150046	Urban1	528	1920	297	1080	7	Validation	0.7	0.3										0.04	0.42	1.53	0.08	0.92	3.33	0.05	0.49	1.8
Recording16	201921150046	Urban1	528	1920	297	1080	8	Validation	0.7	0.7										0.23	2.5	9.1	0.1	1.12	4.09	0.05	0.6	2.17
Recording16	201921150046	Urban1	528	1920	297	1080	9	Validation	0.3	0.3										0.16	1.8	6.54	0.06	0.66	2.41	0.04	0.48	1.75
Recording17	201911061189	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.1	1.11	4.04	0.06	0.64	2.31	0.07	0.74	2.71									
Recording17	201911061189	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.13	1.45	5.26	0.05	0.63	2.31	0.05	0.58	2.11									
Recording17	201911061189	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.06	0.57	2.06	0.04	0.4	1.45	0.05	0.48	1.74									
Recording17	201911061189	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.08	0.9	3.28	0.05	0.53	1.93	0.06	0.67	2.43									
Recording17	201911061189	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.08	0.9	3.29	0.03	0.4	1.47	0.04	0.52	1.89									
Recording17	201911061189	Urban0	528	1920	297	1080	6	Validation	0.7	0.7										0.26	2.82	10.27	0.06	0.63	2.29	0.04	0.38	1.39
Recording17	201911061189	Urban0	528	1920	297	1080	7	Validation	0.7	0.3										0.28	2.88	10.47	0.1	1.09	3.95	0.05	0.48	1.73
Recording17	201911061189	Urban0	528	1920	297	1080	8	Validation	0.3	0.7										0.14	1.51	5.48	0.05	0.54	1.97	0.04	0.45	1.65
Recording17	201911061189	Urban0	528	1920	297	1080	9	Validation	0.3	0.3										0.3	3.07	11.16	0.08	0.85	3.09	0.07	0.75	2.73
Recording18	201711061134	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.09	1	3.64	0.1	1.09	3.96	0.08	0.95	3.45									
Recording18	201711061134	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.24	2.74	9.96	0.05	0.64	2.33	0.06	0.67	2.44									
Recording18	201711061134	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.04	0.42	1.53	0.05	0.54	1.97	0.06	0.6	2.18									
