Recording	Participant	Timeline	Calibration plane width(mm)	Calibration plane width(px)	Calibration plane height(mm)	Calibration plane height(px)	Point order	Type	X	Y	Calibration accuracy(deg)	Calibration accuracy(mm)	Calibration accuracy(px)	Calibration precision SD(deg)	Calibration precision SD(mm)	Calibration precision SD(px)	Calibration precision RMS(deg)	Calibration precision RMS(mm)	Calibration precision RMS(px)	Validation accuracy(deg)	Validation accuracy(mm)	Validation accuracy(px)	Validation precision SD(deg)	Validation precision SD(mm)	Validation precision SD(px)	Validation precision RMS(deg)	Validation precision RMS(mm)	Validation precision RMS(px)
Recording58	202011081077	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.2	2.19	7.95	0.07	0.76	2.78	0.07	0.79	2.89									
Recording58	202011081077	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.2	2.2	8.02	0.07	0.79	2.86	0.08	0.89	3.23									
Recording58	202011081077	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.04	0.4	1.44	0.06	0.64	2.33	0.07	0.73	2.64									
Recording58	202011081077	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.18	2.04	7.44	0.07	0.8	2.89	0.08	0.93	3.37									
Recording58	202011081077	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.15	1.64	5.98	0.09	0.99	3.59	0.12	1.34	4.87									
Recording58	202011081077	Urban1	528	1920	297	1080	6	Validation	0.3	0.3										1.04	10.63	38.67	0.08	0.79	2.89	0.08	0.81	2.93
Recording58	202011081077	Urban1	528	1920	297	1080	7	Validation	0.7	0.7										0.38	3.87	14.07	0.07	0.73	2.65	0.08	0.83	3.03
Recording58	202011081077	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										0.17	1.8	6.53	0.16	1.63	5.92	0.08	0.87	3.15
Recording58	202011081077	Urban1	528	1920	297	1080	9	Validation	0.3	0.7										0.15	1.55	5.65	0.1	1.03	3.75	0.09	0.89	3.22
Recording59	201711061202	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.08	0.98	3.57	0.08	0.93	3.38	0.08	0.93	3.38									
Recording59	201711061202	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.06	0.69	2.5	0.08	1.03	3.73	0.09	1.08	3.92									
Recording59	201711061202	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.05	0.53	1.92	0.14	1.55	5.65	0.19	2.07	7.51									
Recording59	201711061202	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.04	0.45	1.64	0.17	2.14	7.77	0.25	3.01	10.93									
Recording59	201711061202	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0	0.06	0.21	0.1	1.25	4.53	0.15	1.86	6.75									
Recording59	201711061202	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										0.39	4.46	16.21	1.74	19.73	71.75	1.46	16.45	59.81
Recording59	201711061202	Urban0	528	1920	297	1080	7	Validation	0.3	0.3										0.23	2.62	9.51	0.12	1.33	4.84	0.14	1.57	5.73
Recording59	201711061202	Urban0	528	1920	297	1080	8	Validation	0.7	0.7										0.48	5.65	20.53	0.12	1.37	4.98	0.14	1.64	5.97
Recording59	201711061202	Urban0	528	1920	297	1080	9	Validation	0.3	0.7										0.82	9.53	34.67	0.26	3	10.89	0.11	1.31	4.75
Recording60	201921150033	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1		0.41	1.49		0.77	2.81		1.11	4.04									
Recording60	201921150033	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.1	1.1	3.99	0.05	0.54	1.97	0.05	0.59	2.14									
Recording60	201921150033	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5		0.11	0.4		0.52	1.87		0.61	2.21									
Recording60	201921150033	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.03	0.36	1.29	0.05	0.56	2.04	0.07	0.78	2.85									
Recording60	201921150033	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.05	0.54	1.97	0.05	0.61	2.23	0.06	0.76	2.75									
Recording60	201921150033	Urban1	528	1920	297	1080	6	Validation	0.3	0.7										0.1	1.1	4.01	0.09	0.94	3.43	0.07	0.74	2.7
Recording60	201921150033	Urban1	528	1920	297	1080	7	Validation	0.7	0.7										0.06	0.64	2.31	0.12	1.32	4.79	0.07	0.73	2.67
Recording60	201921150033	Urban1	528	1920	297	1080	8	Validation	0.3	0.3										0.19	2.02	7.35	1.04	11.05	40.2	0.79	8.5	30.92
Recording60	201921150033	Urban1	528	1920	297	1080	9	Validation	0.7	0.3										0.2	2.12	7.71	0.16	1.74	6.32	0.07	0.72	2.61
Recording61	201711260230	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.16	1.74	6.35	0.09	1	3.63	0.08	0.93	3.37									
Recording61	201711260230	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.14	1.56	5.68	0.06	0.73	2.66	0.06	0.73	2.67									
Recording61	201711260230	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.06	0.55	1.99	0.11	1.11	4.04	0.08	0.84	3.06									
Recording61	201711260230	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.13	1.4	5.11	0.08	0.96	3.49	0.05	0.59	2.15									
Recording61	201711260230	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.1	1.16	4.23	0.3	3.48	12.65	0.2	2.28	8.28									
Recording61	201711260230	Urban0	528	1920	297	1080	6	Validation	0.3	0.7										0.48	4.87	17.71	0.11	1.13	4.11	0.09	0.91	3.3
Recording61	201711260230	Urban0	528	1920	297	1080	7	Validation	0.7	0.7										0.33	3.39	12.32	0.16	1.64	5.97	0.06	0.66	2.41
Recording61	201711260230	Urban0	528	1920	297	1080	8	Validation	0.3	0.3										0.48	4.96	18.04	0.1	1.06	3.87	0.05	0.49	1.77
Recording61	201711260230	Urban0	528	1920	297	1080	9	Validation	0.7	0.3										0.26	2.7	9.83	0.09	0.94	3.44	0.06	0.64	2.35
Recording62	201711140117	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1		0.75	2.74		0.6	2.2		0.77	2.8									
Recording62	201711140117	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.03	0.36	1.3	0.08	0.9	3.28	0.11	1.21	4.41									
Recording62	201711140117	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.02	0.25	0.91	0.1	0.95	3.47	0.1	0.97	3.54									
Recording62	201711140117	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.02	0.24	0.87	0.17	1.87	6.79	0.14	1.58	5.76									
Recording62	201711140117	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.06	0.64	2.32	0.07	0.82	2.97	0.08	0.9	3.27									
Recording62	201711140117	Urban1	528	1920	297	1080	6	Validation	0.3	0.3										0.98	9.75	35.46	0.14	1.43	5.2	0.18	1.79	6.5
Recording62	201711140117	Urban1	528	1920	297	1080	7	Validation	0.7	0.7										0.31	3.24	11.78	0.09	0.91	3.3	0.1	1.07	3.9
Recording62	201711140117	Urban1	528	1920	297	1080	8	Validation	0.3	0.7										0.16	1.62	5.88	0.09	0.97	3.52	0.08	0.88	3.18
Recording62	201711140117	Urban1	528	1920	297	1080	9	Validation	0.7	0.3										0.2	2.05	7.45	0.14	1.38	5.03	0.08	0.79	2.89
Recording63	202011051073	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1		3.06	11.12		0.63	2.29		0.89	3.24									
Recording63	202011051073	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1		0.9	3.29		0.65	2.36		0.77	2.8									
Recording63	202011051073	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.32	3.51	12.77	0.12	1.34	4.87	0.09	1.04	3.76									
Recording63	202011051073	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.07	0.81	2.94	0.12	1.52	5.51	0.12	1.5	5.46									
Recording63	202011051073	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.1	1.26	4.59	0.04	0.54	1.97	0.06	0.73	2.66									
Recording63	202011051073	Urban1	528	1920	297	1080	6	Validation	0.3	0.3										2.25	25.28	91.93	0.07	0.74	2.7	0.06	0.68	2.48
Recording63	202011051073	Urban1	528	1920	297	1080	7	Validation	0.3	0.7										1.04	11.93	43.37	0.08	0.94	3.44	0.08	0.97	3.52
Recording63	202011051073	Urban1	528	1920	297	1080	8	Validation	0.7	0.7										0.91	10.28	37.37	0.13	1.49	5.4	0.08	0.88	3.2
Recording63	202011051073	Urban1	528	1920	297	1080	9	Validation	0.7	0.3										1.12	12.61	45.87	0.11	1.27	4.61	0.07	0.83	3.02
Recording64	201811940310	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.31	3.41	12.4	0.15	1.69	6.14	0.13	1.45	5.27									
Recording64	201811940310	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.43	4.79	17.4	0.07	0.76	2.78	0.09	1.03	3.75									
Recording64	201811940310	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5		0.64	2.34		1.8	6.53		2.4	8.74									
Recording64	201811940310	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.21	2.3	8.37	0.09	1.06	3.84	0.13	1.52	5.54									
Recording64	201811940310	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.31	3.44	12.5	0.21	2.41	8.75	0.21	2.39	8.7									
Recording64	201811940310	Urban0	528	1920	297	1080	6	Validation	0.3	0.3										0.56	5.78	21.02	0.12	1.2	4.37	0.15	1.55	5.65
Recording64	201811940310	Urban0	528	1920	297	1080	7	Validation	0.3	0.7										0.8	8.31	30.22	0.28	2.85	10.37	0.38	3.96	14.39
Recording64	201811940310	Urban0	528	1920	297	1080	8	Validation	0.7	0.7										0.94	9.72	35.36	0.12	1.29	4.68	0.13	1.4	5.09
Recording64	201811940310	Urban0	528	1920	297	1080	9	Validation	0.7	0.3										0.95	9.89	35.97	0.09	0.94	3.43	0.11	1.1	3.99
Recording65	201911061147	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.1	1.18	4.29	0.07	0.83	3.01	0.07	0.86	3.12									
Recording65	201911061147	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.1	1.12	4.09	0.05	0.61	2.21	0.06	0.68	2.48									
Recording65	201911061147	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.08	0.86	3.15	0.04	0.43	1.58	0.05	0.55	1.99									
Recording65	201911061147	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.07	0.8	2.9	0.61	7.07	25.69	0.72	8.17	29.72									
Recording65	201911061147	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.03	0.35	1.28	0.05	0.59	2.13	0.05	0.58	2.09									
Recording65	201911061147	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										0.57	6.16	22.41	0.11	1.2	4.36	0.11	1.15	4.2
Recording65	201911061147	Urban0	528	1920	297	1080	7	Validation	0.3	0.7										0.41	4.49	16.32	0.1	1.05	3.81	0.11	1.2	4.35
Recording65	201911061147	Urban0	528	1920	297	1080	8	Validation	0.7	0.7										0.4	4.34	15.79	0.08	0.87	3.17	0.07	0.74	2.69
Recording65	201911061147	Urban0	528	1920	297	1080	9	Validation	0.3	0.3										0.25	2.68	9.74	0.06	0.69	2.52	0.04	0.47	1.7
Recording66	202011051056	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1		0.44	1.61		0.7	2.56		1.02	3.7									
Recording66	202011051056	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1		0.28	1		0.64	2.34		0.93	3.39									
Recording66	202011051056	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.02	0.24	0.87	0.06	0.66	2.39	0.08	0.87	3.17									
Recording66	202011051056	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9		0.43	1.57		0.64	2.31		0.82	2.97									
Recording66	202011051056	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.02	0.24	0.88	0.06	0.7	2.54	0.07	0.82	2.99									
Recording66	202011051056	Urban0	528	1920	297	1080	6	Validation	0.7	0.7										0.21	2.2	8.01	0.42	4.46	16.22	0.25	2.75	10.01
Recording66	202011051056	Urban0	528	1920	297	1080	7	Validation	0.3	0.7										0.05	0.49	1.77	0.12	1.27	4.62	0.08	0.86	3.13
Recording66	202011051056	Urban0	528	1920	297	1080	8	Validation	0.7	0.3										0.16	1.63	5.92	0.09	0.92	3.36	0.07	0.74	2.69
Recording66	202011051056	Urban0	528	1920	297	1080	9	Validation	0.3	0.3										0.08	0.79	2.88	0.07	0.76	2.78	0.07	0.75	2.72
Recording67	202011051089	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1		1.23	4.48		0.64	2.33		0.86	3.12									
Recording67	202011051089	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.12	1.43	5.19	0.06	0.67	2.45	0.07	0.86	3.14									
Recording67	202011051089	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.06	0.62	2.24	0.04	0.44	1.59	0.05	0.51	1.86									
Recording67	202011051089	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.09	1	3.62	0.06	0.74	2.71	0.06	0.73	2.65									
Recording67	202011051089	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.11	1.22	4.44	0.04	0.46	1.69	0.05	0.57	2.06									
Recording67	202011051089	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										0.08	0.92	3.35	0.1	1.07	3.9	0.05	0.55	1.98
Recording67	202011051089	Urban0	528	1920	297	1080	7	Validation	0.3	0.7										0.4	4.4	16.01	0.05	0.58	2.12	0.06	0.64	2.34
Recording67	202011051089	Urban0	528	1920	297	1080	8	Validation	0.7	0.7										0.03	0.32	1.15	0.07	0.79	2.87	0.1	1.12	4.07
Recording67	202011051089	Urban0	528	1920	297	1080	9	Validation	0.3	0.3										0.09	1.01	3.67	0.08	0.84	3.06	0.05	0.53	1.94
Recording68	201921160016	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.22	2.43	8.84	0.69	7.83	28.48	0.76	8.61	31.31									
Recording68	201921160016	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.26	3	10.89	0.07	0.84	3.04	0.09	1.08	3.94									
Recording68	201921160016	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5		1.55	5.63		6.38	23.19		6.8	24.74									
Recording68	201921160016	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.33	3.69	13.41	0.08	0.97	3.53	0.11	1.25	4.55									
Recording68	201921160016	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.24	2.77	10.07	0.11	1.31	4.76	0.14	1.64	5.98									
Recording68	201921160016	Urban1	528	1920	297	1080	6	Validation	0.7	0.7										0.52	5.62	20.42	1.4	15.32	55.71	1.07	11.67	42.42
Recording68	201921160016	Urban1	528	1920	297	1080	7	Validation	0.3	0.7										0.66	6.95	25.28	0.38	4	14.54	0.33	3.54	12.86
Recording68	201921160016	Urban1	528	1920	297	1080	8	Validation	0.7	0.3										0.38	4.01	14.58	0.13	1.4	5.1	0.13	1.4	5.1
Recording68	201921160016	Urban1	528	1920	297	1080	9	Validation	0.3	0.3										0.24	2.49	9.06	0.16	1.7	6.16	0.16	1.69	6.15
Recording69	202011051011	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1		1.78	6.49		1.44	5.24		1.92	6.98									
Recording69	202011051011	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1		1.6	5.83		1.35	4.89		1.47	5.33									
Recording69	202011051011	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5		0.47	1.72		1.07	3.88		1.23	4.46									
Recording69	202011051011	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9		1.32	4.81		1.43	5.21		1.86	6.75									
Recording69	202011051011	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9		1.53	5.58		1.49	5.43		1.84	6.71									
Recording69	202011051011	Urban1	528	1920	297	1080	6	Validation	0.7	0.7										0.55	6.26	22.77	0.22	2.49	9.05	0.13	1.48	5.37
Recording69	202011051011	Urban1	528	1920	297	1080	7	Validation	0.3	0.3										0.83	9.07	32.99	0.12	1.35	4.92	0.12	1.35	4.93
Recording69	202011051011	Urban1	528	1920	297	1080	8	Validation	0.3	0.7										0.47	5.14	18.71	0.08	0.88	3.21	0.11	1.19	4.31
Recording69	202011051011	Urban1	528	1920	297	1080	9	Validation	0.7	0.3										0.5	5.65	20.55	0.1	1.13	4.12	0.11	1.21	4.41
Recording70	202021040012	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0	0.04	0.14	0.1	1.11	4.04	0.11	1.25	4.53									
Recording70	202021040012	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.01	0.15	0.55	0.08	0.9	3.26	0.09	1.02	3.73									
Recording70	202021040012	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0	0.05	0.18	0.08	0.89	3.23	0.11	1.2	4.36									
Recording70	202021040012	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.02	0.21	0.76	0.08	0.92	3.33	0.09	1.1	3.99									
Recording70	202021040012	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.02	0.2	0.72	0.1	1.16	4.22	0.09	1.14	4.13									
Recording70	202021040012	Urban1	528	1920	297	1080	6	Validation	0.3	0.3										0.17	1.85	6.72	0.66	7.31	26.57	0.68	7.38	26.84
Recording70	202021040012	Urban1	528	1920	297	1080	7	Validation	0.3	0.7										0.34	3.78	13.76	0.08	0.85	3.11	0.1	1.07	3.88
Recording70	202021040012	Urban1	528	1920	297	1080	8	Validation	0.7	0.7										0.26	2.83	10.31	0.09	1.01	3.68	0.1	1.1	3.99
Recording70	202021040012	Urban1	528	1920	297	1080	9	Validation	0.7	0.3										0.4	4.49	16.32	1.2	13.27	48.27	0.49	5.49	19.95
Recording71	202011061070	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.1	1.12	4.06	0.08	0.93	3.39	0.12	1.27	4.6									
Recording71	202011061070	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.17	1.87	6.81	0.1	1.05	3.83	0.13	1.49	5.42									
Recording71	202011061070	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.04	0.4	1.44	0.11	1.15	4.17	0.14	1.41	5.14									
Recording71	202011061070	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.07	0.74	2.71	0.1	1.16	4.24	0.13	1.48	5.37									
Recording71	202011061070	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.1	1.07	3.88	0.13	1.55	5.64	0.17	2.03	7.38									
Recording71	202011061070	Urban0	528	1920	297	1080	6	Validation	0.3	0.7										1.02	10.73	39.03	1.8	19.38	70.47	1.39	15.19	55.23
Recording71	202011061070	Urban0	528	1920	297	1080	7	Validation	0.7	0.3										0.75	7.75	28.19	0.13	1.31	4.77	0.13	1.32	4.8
Recording71	202011061070	Urban0	528	1920	297	1080	8	Validation	0.3	0.3										0.34	3.49	12.68	0.17	1.76	6.4	0.13	1.27	4.63
Recording71	202011061070	Urban0	528	1920	297	1080	9	Validation	0.7	0.7										0.85	8.85	32.17	0.1	1.06	3.85	0.12	1.22	4.43
Recording72	202011061054	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.08	0.9	3.29	0.06	0.71	2.58	0.07	0.82	2.98									
Recording72	202011061054	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.1	1.16	4.21	0.05	0.56	2.04	0.05	0.6	2.18									
Recording72	202011061054	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.04	0.45	1.64	0.04	0.44	1.58	0.06	0.65	2.36									
Recording72	202011061054	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.08	0.89	3.23	0.06	0.72	2.62	0.07	0.87	3.15									
Recording72	202011061054	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.07	0.89	3.24	0.05	0.63	2.29	0.06	0.73	2.65									
Recording72	202011061054	Urban1	528	1920	297	1080	6	Validation	0.3	0.7										0.28	3.04	11.07	0.29	3.18	11.55	0.12	1.38	5.01
Recording72	202011061054	Urban1	528	1920	297	1080	7	Validation	0.3	0.3										0.64	6.99	25.42	0.09	1.02	3.72	0.06	0.67	2.44
Recording72	202011061054	Urban1	528	1920	297	1080	8	Validation	0.7	0.7										0.39	4.38	15.94	0.05	0.58	2.12	0.05	0.54	1.96
Recording72	202011061054	Urban1	528	1920	297	1080	9	Validation	0.7	0.3										0.59	6.38	23.21	0.11	1.19	4.32	0.07	0.73	2.65
Recording73	202031061046	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1		2.58	9.38		2.33	8.47		3.37	12.24									
Recording73	202031061046	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1		1.2	4.38		0.54	1.97		0.76	2.77									
Recording73	202031061046	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.03	0.31	1.12	0.05	0.5	1.81	0.07	0.65	2.35									
Recording73	202031061046	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.13	1.42	5.15	0.08	0.83	3.03	0.08	0.9	3.28									
Recording73	202031061046	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.09	0.98	3.58	0.09	1	3.62	0.11	1.27	4.63									
Recording73	202031061046	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										0.32	3.23	11.74	0.09	0.89	3.23	0.09	0.89	3.23
Recording73	202031061046	Urban0	528	1920	297	1080	7	Validation	0.7	0.7										0.86	8.64	31.41	0.99	9.94	36.14	0.09	0.94	3.43
Recording73	202031061046	Urban0	528	1920	297	1080	8	Validation	0.3	0.7										9.05	87.56	318.38	6.88	66.35	241.27	9.48	91.45	332.55
Recording73	202031061046	Urban0	528	1920	297	1080	9	Validation	0.3	0.3										0.16	1.61	5.84	0.23	2.26	8.23	0.07	0.74	2.68
Recording74	202011061101	Urban1	528	1920	297	1080	1	Calibration	0.1	0.1	0.07	0.71	2.59	0.08	0.84	3.05	0.08	0.86	3.14									
Recording74	202011061101	Urban1	528	1920	297	1080	2	Calibration	0.9	0.1	0.1	1.1	3.98	0.04	0.47	1.7	0.04	0.49	1.77									
Recording74	202011061101	Urban1	528	1920	297	1080	3	Calibration	0.5	0.5	0.04	0.4	1.47	0.05	0.5	1.82	0.05	0.55	1.98									
Recording74	202011061101	Urban1	528	1920	297	1080	4	Calibration	0.1	0.9	0.05	0.54	1.97	0.08	0.83	3.03	0.05	0.56	2.05									
Recording74	202011061101	Urban1	528	1920	297	1080	5	Calibration	0.9	0.9	0.06	0.67	2.43	0.05	0.57	2.07	0.04	0.5	1.83									
Recording74	202011061101	Urban1	528	1920	297	1080	6	Validation	0.3	0.7										0.34	3.4	12.37	0.94	9.79	35.61	0.79	8.18	29.76
Recording74	202011061101	Urban1	528	1920	297	1080	7	Validation	0.7	0.3										0.06	0.59	2.16	0.16	1.59	5.78	0.05	0.51	1.84
Recording74	202011061101	Urban1	528	1920	297	1080	8	Validation	0.3	0.3										0.24	2.45	8.92	0.12	1.22	4.43	0.05	0.5	1.83
Recording74	202011061101	Urban1	528	1920	297	1080	9	Validation	0.7	0.7										0.72	7.2	26.18	1.48	14.92	54.24	0.63	6.3	22.91
Recording75	201911120162	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.33	3.76	13.68	0.07	0.84	3.07	0.08	0.96	3.49									
Recording75	201911120162	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.32	3.67	13.36	0.07	0.79	2.87	0.08	0.88	3.21									
Recording75	201911120162	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5	0.3	3.23	11.76	0.39	4.2	15.26	0.45	4.78	17.37									
Recording75	201911120162	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.52	5.89	21.42	0.12	1.49	5.4	0.18	2.12	7.7									
Recording75	201911120162	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	0.58	6.73	24.47	0.23	2.74	9.96	0.24	2.78	10.11									
Recording75	201911120162	Urban0	528	1920	297	1080	6	Validation	0.7	0.7										0.58	6.46	23.48	1.06	11.53	41.93	0.74	8.01	29.12
Recording75	201911120162	Urban0	528	1920	297	1080	7	Validation	0.7	0.3										0.35	3.75	13.63	0.11	1.18	4.28	0.11	1.15	4.18
Recording75	201911120162	Urban0	528	1920	297	1080	8	Validation	0.3	0.7										1.21	13.02	47.34	0.36	3.82	13.89	0.45	4.86	17.67
Recording75	201911120162	Urban0	528	1920	297	1080	9	Validation	0.3	0.3										0.21	2.26	8.23	0.09	0.99	3.59	0.11	1.12	4.06
Recording_metro	201711061150	Urban0	528	1920	297	1080	1	Calibration	0.1	0.1	0.33	3.68	13.4	0.1	1.2	4.36	0.13	1.45	5.26									
Recording_metro	201711061150	Urban0	528	1920	297	1080	2	Calibration	0.9	0.1	0.19	2.16	7.85	0.06	0.74	2.68	0.09	1	3.62									
Recording_metro	201711061150	Urban0	528	1920	297	1080	3	Calibration	0.5	0.5		1.39	5.07		0.88	3.21		1.13	4.13									
Recording_metro	201711061150	Urban0	528	1920	297	1080	4	Calibration	0.1	0.9	0.21	2.52	9.15	0.95	11.02	40.07	1.14	13.17	47.89									
Recording_metro	201711061150	Urban0	528	1920	297	1080	5	Calibration	0.9	0.9	7.66	86.35	313.99	8.88	95.89	348.68	4.05	43.71	158.94									
Recording_metro	201711061150	Urban0	528	1920	297	1080	6	Validation	0.7	0.3										0.68	7.11	25.87	0.14	1.49	5.41	0.13	1.32	4.79
Recording_metro	201711061150	Urban0	528	1920	297	1080	7	Validation	0.3	0.3										0.29	3.01	10.95	0.72	7.33	26.66	0.41	4.22	15.33
Recording_metro	201711061150	Urban0	528	1920	297	1080	8	Validation	0.3	0.7										0.48	4.93	17.93	0.79	8.38	30.47	0.43	4.58	16.65
Recording_metro	201711061150	Urban0	528	1920	297	1080	9	Validation	0.7	0.7										1.23	12.67	46.09	0.7	7.21	26.23	0.42	4.36	15.84
